date,date_id,date_name,day,day_number_of_year,days_in_month,first_day_of_month,first_day_of_month_id,is_leap_year,is_weekday,iso_day,iso_day_id,iso_last_year_day_id,iso_week,iso_week_id,iso_year,iso_year_id,last_day_of_month,last_day_of_month_id,month,month_id,month_name,previous_day_id,previous_month_id,previous_quarter_id,previous_year_id,quarter,quarter_id,short_month_name,weekday,year,year_id
2017-01-01,20170101,"January 01, 2017",1,1,31,2017-01-01,20170101,0,0,7,2016527,2015527,52,201652,2016,2016,2017-01-31,20170131,1,201701,January,20161231,201612,20164,2016,1,20171,Jan,7,2017,2017
2017-01-02,20170102,"January 02, 2017",2,2,31,2017-01-01,20170101,0,1,1,2017011,2016011,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170101,201612,20164,2016,1,20171,Jan,1,2017,2017
2017-01-03,20170103,"January 03, 2017",3,3,31,2017-01-01,20170101,0,1,2,2017012,2016012,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170102,201612,20164,2016,1,20171,Jan,2,2017,2017
2017-01-04,20170104,"January 04, 2017",4,4,31,2017-01-01,20170101,0,1,3,2017013,2016013,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170103,201612,20164,2016,1,20171,Jan,3,2017,2017
2017-01-05,20170105,"January 05, 2017",5,5,31,2017-01-01,20170101,0,1,4,2017014,2016014,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170104,201612,20164,2016,1,20171,Jan,4,2017,2017
2017-01-06,20170106,"January 06, 2017",6,6,31,2017-01-01,20170101,0,1,5,2017015,2016015,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170105,201612,20164,2016,1,20171,Jan,5,2017,2017
2017-01-07,20170107,"January 07, 2017",7,7,31,2017-01-01,20170101,0,0,6,2017016,2016016,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170106,201612,20164,2016,1,20171,Jan,6,2017,2017
2017-01-08,20170108,"January 08, 2017",8,8,31,2017-01-01,20170101,0,0,7,2017017,2016017,1,201701,2017,2017,2017-01-31,20170131,1,201701,January,20170107,201612,20164,2016,1,20171,Jan,7,2017,2017
2017-01-09,20170109,"January 09, 2017",9,9,31,2017-01-01,20170101,0,1,1,2017021,2016021,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170108,201612,20164,2016,1,20171,Jan,1,2017,2017
2017-01-10,20170110,"January 10, 2017",10,10,31,2017-01-01,20170101,0,1,2,2017022,2016022,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170109,201612,20164,2016,1,20171,Jan,2,2017,2017
2017-01-11,20170111,"January 11, 2017",11,11,31,2017-01-01,20170101,0,1,3,2017023,2016023,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170110,201612,20164,2016,1,20171,Jan,3,2017,2017
2017-01-12,20170112,"January 12, 2017",12,12,31,2017-01-01,20170101,0,1,4,2017024,2016024,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170111,201612,20164,2016,1,20171,Jan,4,2017,2017
2017-01-13,20170113,"January 13, 2017",13,13,31,2017-01-01,20170101,0,1,5,2017025,2016025,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170112,201612,20164,2016,1,20171,Jan,5,2017,2017
2017-01-14,20170114,"January 14, 2017",14,14,31,2017-01-01,20170101,0,0,6,2017026,2016026,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170113,201612,20164,2016,1,20171,Jan,6,2017,2017
2017-01-15,20170115,"January 15, 2017",15,15,31,2017-01-01,20170101,0,0,7,2017027,2016027,2,201702,2017,2017,2017-01-31,20170131,1,201701,January,20170114,201612,20164,2016,1,20171,Jan,7,2017,2017
2017-01-16,20170116,"January 16, 2017",16,16,31,2017-01-01,20170101,0,1,1,2017031,2016031,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170115,201612,20164,2016,1,20171,Jan,1,2017,2017
2017-01-17,20170117,"January 17, 2017",17,17,31,2017-01-01,20170101,0,1,2,2017032,2016032,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170116,201612,20164,2016,1,20171,Jan,2,2017,2017
2017-01-18,20170118,"January 18, 2017",18,18,31,2017-01-01,20170101,0,1,3,2017033,2016033,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170117,201612,20164,2016,1,20171,Jan,3,2017,2017
2017-01-19,20170119,"January 19, 2017",19,19,31,2017-01-01,20170101,0,1,4,2017034,2016034,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170118,201612,20164,2016,1,20171,Jan,4,2017,2017
2017-01-20,20170120,"January 20, 2017",20,20,31,2017-01-01,20170101,0,1,5,2017035,2016035,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170119,201612,20164,2016,1,20171,Jan,5,2017,2017
2017-01-21,20170121,"January 21, 2017",21,21,31,2017-01-01,20170101,0,0,6,2017036,2016036,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170120,201612,20164,2016,1,20171,Jan,6,2017,2017
2017-01-22,20170122,"January 22, 2017",22,22,31,2017-01-01,20170101,0,0,7,2017037,2016037,3,201703,2017,2017,2017-01-31,20170131,1,201701,January,20170121,201612,20164,2016,1,20171,Jan,7,2017,2017
2017-01-23,20170123,"January 23, 2017",23,23,31,2017-01-01,20170101,0,1,1,2017041,2016041,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170122,201612,20164,2016,1,20171,Jan,1,2017,2017
2017-01-24,20170124,"January 24, 2017",24,24,31,2017-01-01,20170101,0,1,2,2017042,2016042,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170123,201612,20164,2016,1,20171,Jan,2,2017,2017
2017-01-25,20170125,"January 25, 2017",25,25,31,2017-01-01,20170101,0,1,3,2017043,2016043,4,201704,2017,2017,2017-01-31,20170131,1,201701,January,20170124,201612,20164,2016,1,20171,Jan,3,2017,2017
